id,name_ch,name,match_title,match_url,midi_url
151,我王必定快要再臨, My King Will Soon Come Back Again,My King will soon come back again,https://www.hymnal.net/en/hymn/h/960,https://www.hymnal.net/Hymns/Hymnal/midi/e0960_i.mid
156,自伯大尼, Since Long Ago At Bethany,Since long ago at Bethany we parted,https://www.hymnal.net/en/hymn/h/958,https://www.hymnal.net/Hymns/Hymnal/midi/e0934_i.mid
159,我能否忘快來的主, Can I Forget Come Lord,Can I forget the coming Lord,https://www.hymnal.net/en/hymn/h/8757,https://www.hymnal.net/Hymns/Hymnal/midi/e8757_i.mid
161,耶穌此名何等芬芳, How Sweet The Name Of Jesus Sounds,How sweet the Name of Jesus sounds,https://www.hymnal.net/en/hymn/h/66,https://www.hymnal.net/Hymns/Hymnal/midi/e0066_i.mid
162,主耶穌，我愛你名," Thy Name We Love, Lord Jesus","Thy name we love, Lord Jesus",https://www.hymnal.net/en/hymn/h/69,https://www.hymnal.net/Hymns/Hymnal/midi/e0069_i.mid
163,時常攜帶耶穌聖名, Take The Name Of Jesus With You,Take the name of Jesus with you,https://www.hymnal.net/en/hymn/h/670,https://www.hymnal.net/Hymns/Hymnal/midi/e0670_i.mid
165,耶穌你名何等芬芳, Jesus! How Much Thy Name Unfolds,Jesus! how much Thy name unfolds,https://www.hymnal.net/en/hymn/h/71,https://www.hymnal.net/Hymns/Hymnal/midi/e0071_i.mid
170,祂名為奇妙, His Name Is Wonderful,His Name is Wonderful,https://www.hymnal.net/en/hymn/h/1085,https://www.hymnal.net/Hymns/Hymnal/midi/e1085_i.mid
173,祂來尋覓滿了柔情, In Tenderness He Sought Me,In tenderness He sought me,https://www.hymnal.net/en/hymn/h/1068,https://www.hymnal.net/Hymns/Hymnal/midi/e1068_i.mid
174,神聖的愛何其美甜," O Love Divine, How Sweet Thou Art","O Love divine, how sweet Thou art",https://www.hymnal.net/en/hymn/h/427,https://www.hymnal.net/Hymns/Hymnal/midi/e0131_i.mid
178,你的大愛, It Passeth Knowledge,"It passeth knowledge, that dear love of Thine",https://www.hymnal.net/en/hymn/h/154,https://www.hymnal.net/Hymns/Hymnal/midi/e0154_i.mid
179,何能如此如我也能, And Can It Be That I Should Gain,And can it be that I should gain,https://www.hymnal.net/en/hymn/h/296,https://www.hymnal.net/Hymns/Hymnal/midi/e0296_i.mid
180,主耶穌當我們想到你, Lord Jesus! When We Think Of Thee,Lord Jesus! when we think of Thee,https://www.hymnal.net/en/hymn/h/207,https://www.hymnal.net/Hymns/Hymnal/midi/e0207_i.mid
181,你這不肯放我的愛," O Love, That Wilt Not Let Me Go","O Love, that wilt not let me go",https://www.hymnal.net/en/hymn/h/432,https://www.hymnal.net/Hymns/Hymnal/midi/e0432_i.mid
184,我有良友, I've Found A Friend,"I've found a Friend, oh, such a Friend",https://www.hymnal.net/en/hymn/h/288,https://www.hymnal.net/Hymns/Hymnal/midi/e0288_i.mid
187,驚人恩典, Amazing Grace,Amazing Grace,https://www.hymnal.net/en/hymn/h/313,https://www.hymnal.net/Hymns/Hymnal/midi/e0313_i.mid
192,我主耶穌惟你是配," Jesus, Thou Alone Art Worthy","Jesus, Thou alone art worthy",https://www.hymnal.net/en/hymn/h/182,https://www.hymnal.net/Hymns/Hymnal/midi/e0182_i.mid
201,主接納我們的詩歌," Lord, Accept Our Feeble Song","Lord, accept our feeble song",https://www.hymnal.net/en/hymn/h/90,https://www.hymnal.net/Hymns/Hymnal/midi/e0022_i.mid
207,我的詩歌是耶穌, My Song Shall Be Of Jesus,My song shall be of Jesus,https://www.hymnal.net/en/hymn/h/165,https://www.hymnal.net/Hymns/Hymnal/midi/e0165_i.mid
214,快樂日, O Happy Day,O happy day that fixed my choice,https://www.hymnal.net/en/hymn/h/347,https://www.hymnal.net/Hymns/Hymnal/midi/e0347_i.mid
223,哦主耶穌每想到你," Lord Jesus Christ, Our Heart Feels Sweet","Lord Jesus Christ, our heart feels sweet",https://www.hymnal.net/en/hymn/h/171,https://www.hymnal.net/Hymns/Hymnal/midi/e0171_i.mid
233,耶穌你的全勝的愛," Jesus, Thine All Victorious Love","Jesus, Thine all-victorious love",https://www.hymnal.net/en/hymn/h/264,https://www.hymnal.net/Hymns/Hymnal/midi/e0177_i.mid
245,充滿我, Fill Me Now,Fill me with Thy gracious Spirit,https://www.hymnal.net/en/hymn/h/267,https://www.hymnal.net/Hymns/Hymnal/midi/e0267_i.mid
254,我主只有你聖靈," Thy Holy Spirit, Lord, Alone","Thy Holy Spirit, Lord, alone",https://www.hymnal.net/en/hymn/h/275,https://www.hymnal.net/Hymns/Hymnal/midi/e0275_i.mid
257,哦主耶穌當你在地," Oh, Jesus, Lord, When Thou On Earth","Oh, Jesus, Lord, when Thou on earth",https://www.hymnal.net/en/hymn/h/489,https://www.hymnal.net/Hymns/Hymnal/midi/e0489_i.mid
260,何等慚愧何等痛悔," Oh, The Bitter Shame And Sorrow","Oh, the bitter shame and sorrow",https://www.hymnal.net/en/hymn/h/435,https://www.hymnal.net/Hymns/Hymnal/midi/e0435_i.mid
261,我豈可再冷淡退後, How Can I Ever Stay Away?,How can I ever stay away,https://www.hymnal.net/en/hymn/h/471,https://www.hymnal.net/Hymns/Hymnal/midi/e0021_i.mid
268,我心所追求乃是神自己, My Goal Is God Himself,"My goal is God Himself, not joy, nor peace",https://www.hymnal.net/en/hymn/h/350,https://www.hymnal.net/Hymns/Hymnal/midi/e0350_i.mid
269,進入幔內出到營外, Enter The Veil And Go Without The Camp,Enter the veil and go without the camp,https://www.hymnal.net/en/hymn/h/549,https://www.hymnal.net/Hymns/Hymnal/midi/e0454_i.mid
270,願你為大," Be Thou Supreme, O Jesus Christ","Be Thou supreme, O Jesus Christ",https://www.hymnal.net/en/hymn/h/367,https://www.hymnal.net/Hymns/Hymnal/midi/e0367_i.mid
271,神在天上有一寶貝, God In Heaven Hath A Treasure,God in heaven hath a treasure,https://www.hymnal.net/en/hymn/h/589,https://www.hymnal.net/Hymns/Hymnal/midi/e0589_i.mid
273,進深進深," Deeper, Deeper","Deeper, deeper, in the cross of Jesus",https://www.hymnal.net/en/hymn/h/1240,https://www.hymnal.net/Hymns/Hymnal/midi/e1240_i.mid
276,主使我更愛你, More Holiness Give Me,More holiness give me,https://www.hymnal.net/en/hymn/h/397,https://www.hymnal.net/Hymns/Hymnal/midi/e0397_i.mid
277,我願更多認識耶穌, More About Jesus Would I Know,More about Jesus would I know,https://www.hymnal.net/en/hymn/h/382,https://www.hymnal.net/Hymns/Hymnal/midi/e0382_i.mid
283,要思想耶穌, Consider Him,"Consider Him, let Christ thy pattern be",https://www.hymnal.net/en/hymn/h/656,https://www.hymnal.net/Hymns/Hymnal/midi/e0496_i.mid
285,我已得佳美信息, I've Believed The True Report,I've believed the true report,https://www.hymnal.net/en/hymn/h/551,https://www.hymnal.net/Hymns/Hymnal/midi/e0551_i.mid
288,你這神的隱藏的愛, Thou Hidden Love Of God,"Thou hidden love of God, whose height",https://www.hymnal.net/en/hymn/h/423,https://www.hymnal.net/Hymns/Hymnal/midi/e0423_i.mid
289,求主把我捆綁," Make Me A Captive, Lord","Make me a captive, Lord",https://www.hymnal.net/en/hymn/h/422,https://www.hymnal.net/Hymns/Hymnal/midi/e0142_i.mid
