id,name_ch,name,match_title,match_url
59,哦滿了傷痕的頭, O Head Once Full Of Bruises,O Head once full of bruises,https://www.hymnal.net/en/hymn/h/95
61,我們的靈伏著注視, Gazing On The Lord In Glory,Gazing on the Lord in glory,https://www.hymnal.net/en/hymn/h/136
62,耶穌獨自祈禱, It Was Alone The Savior Prayed,It was alone the Savior prayed,https://www.hymnal.net/en/hymn/h/91
66,主當我們漂流曠野," Lord, Thy Love Has Sought And Found Us","Lord, Thy love has sought and found us",https://www.hymnal.net/en/hymn/h/158
67,遠山迢迢其色青青, There Is A Green Hill Far Away,There is a green hill far away,https://www.hymnal.net/en/hymn/h/995
68,哦主求你指教我, O Teach Me What It Meaneth,O teach me what it meaneth,https://www.hymnal.net/en/hymn/h/1076
74,憐憫慈愛, Merciful And Loving,Merciful and loving,https://www.hymnal.net/en/hymn/h/988
76,主我寶貴你的行徑," Lord, We Treasure With Affection","Lord, we treasure with affection",https://www.hymnal.net/en/hymn/h/93
78,近十架, Near The Cross,"Jesus, keep me near the cross",https://www.hymnal.net/en/hymn/h/1059
79,古老的十字架, The Old Rugged Cross,The old rugged cross,https://www.hymnal.net/en/hymn/h/618
82,在主十架之下, Beneath The Cross Of Jesus,Beneath the cross of Jesus,https://www.hymnal.net/en/hymn/h/621
84,祂不能救自己, Himself He Could Not Save,Himself He could not save,https://www.hymnal.net/en/hymn/h/105
85,頌讚聲音何等難得, How Pleasant Is The Sound Of Praise,How pleasant is the sound of praise,https://www.hymnal.net/en/hymn/h/113
87,你愛所給雖然甚多, Of All The Gifts Thy Love Bestows,Of all the gifts Thy love bestows,https://www.hymnal.net/en/hymn/h/38
90,有一血泉, There Is A Fountain Filled With Blood,There is a fountain filled with blood,https://www.hymnal.net/en/hymn/h/1006
93,我以信心仰望你, My Faith Looks Up To Thee,My faith looks up to Thee,https://www.hymnal.net/en/hymn/h/429
94,九十九隻羊, The Ninety And Nine,There were ninety and nine that safely lay,https://www.hymnal.net/en/hymn/h/1077
96,恩典美妙聲音, Grace! 'Tis A Charming Sound,Grace! 'tis a charming sound,https://www.hymnal.net/en/hymn/h/312
102,我今來就主十架, I Am Coming To The Cross,I am coming to the cross,https://www.hymnal.net/en/hymn/h/1062
113,哈利路亞祂已復活," Hallelujah, He Is Risen","Hallelujah, He is risen",https://www.hymnal.net/en/hymn/h/119
119,看哪聖徒榮耀光景," Look, Ye Saints! The Sight Is Glorious","Look, ye saints, the sight is glorious",https://www.hymnal.net/en/hymn/h/140
120,看哪冠冕已給羔羊, Behold The Lamb With Glory Crowned,Behold the Lamb with glory crowned,https://www.hymnal.net/en/hymn/h/129
121,冠祂萬王之王, Crown Him With Many Crowns,Crown Him with many crowns,https://www.hymnal.net/en/hymn/h/142
125,榮耀歸於我主, Glory To God On High,Glory to Christ on high,https://www.hymnal.net/en/hymn/h/179
127,我們當來同聲歡呼," Come, Let Us Join Our Cheerful Songs","Come, let us join our cheerful songs",https://www.hymnal.net/en/hymn/h/183
131,聽哪千萬聲音雷鳴, Hark! Ten Thousand Voices Crying,Hark! ten thousand voices crying,https://www.hymnal.net/en/hymn/h/127
132,神的基督榮耀的主," Lord Of Glory, We Adore Thee","Lord of glory, we adore Thee",https://www.hymnal.net/en/hymn/h/144
134,哦主耶穌我心喜樂," O Jesus, Lord! 'Tis Joy To Know","O, Jesus, Lord, 'tis joy to know",https://www.hymnal.net/en/hymn/h/131
135,榮耀榮耀永遠榮耀," Glory, Everlasting Glory","Glory, everlasting glory",https://www.hymnal.net/en/hymn/h/134
136,耶穌基督親愛救主," To Thee, Dear Lord, O Christ Of God","To Thee, dear Lord, O Christ of God",https://www.hymnal.net/en/hymn/h/126
139,救主耶穌在寶座上, Majestic Sweetness Sits Enthroned,Majestic sweetness sits enthroned,https://www.hymnal.net/en/hymn/h/177
140,神的兒子親愛救主, Majestic Sweetness Sits Enthroned,Majestic sweetness sits enthroned,https://www.hymnal.net/en/hymn/h/177
143,頌讚受膏的基督, Hail To The Lord's Anointed,Hail to the Lord's Anointed,https://www.hymnal.net/en/hymn/h/968
145,等到何日恩主纔回來," Oh, How Long Before My Lord Comes Back","Oh, how long before my Lord comes back",https://www.hymnal.net/en/hymn/h/962
146,橄欖山前一別離, Since Thy Departure,Since Thy departure from Olivet's Mountain,https://www.hymnal.net/en/hymn/h/959
151,我王必定快要再臨, My King Will Soon Come Back Again,My King will soon come back again,https://www.hymnal.net/en/hymn/h/960
156,自伯大尼, Since Long Ago At Bethany,Since long ago at Bethany we parted,https://www.hymnal.net/en/hymn/h/958
159,我能否忘快來的主, Can I Forget Come Lord,Can I forget the coming Lord,https://www.hymnal.net/en/hymn/h/8757
161,耶穌此名何等芬芳, How Sweet The Name Of Jesus Sounds,How sweet the Name of Jesus sounds,https://www.hymnal.net/en/hymn/h/66
162,主耶穌，我愛你名," Thy Name We Love, Lord Jesus","Thy name we love, Lord Jesus",https://www.hymnal.net/en/hymn/h/69
